Source,Normalized_Source
WCDA FM,Radio - General
WCDX FM,Radio - General
WCEI FM,Radio - General
WCKX FM,Radio - General
WCLU FM,Warner Music Group
WCM ARGENTINA / KORN INTERSONG,Warner Music Group
WCM ARTEMIS,Warner Music Group
WCM AUSTRALIA,Warner Music Group
WCM AUSTRIA,Warner Music Group
WCM BENELUX/ARTEMIS-BELGIUM,Warner Music Group
WCM BENELUX/ARTEMIS-HOLLAND,Warner Music Group
WCM BRAZIL,Warner Music Group
WCM CANADA,Warner Music Group
WCM CHILE,Warner Music Group
WCM CZECH REPUBLIC,Warner Music Group
WCM FRANCE,Warner Music Group
WCM GERMANY,Warner Music Group
WCM HONG KONG-HONG KONG,Warner Music Group
WCM HONG KONG-USA,Warner Music Group
WCM HUNGARY,Warner Music Group
WCM ITALY,Warner Music Group
WCM JAPAN K.K,Warner Music Group
WCM KOREA,Warner Music Group
WCM MALAYSIA,Warner Music Group
WCM MEXICO S A DE CV,Warner Music Group
WCM PHILIPPINES,Warner Music Group
WCM POLAND,Warner Music Group
WCM RUSSIA,Warner Music Group
WCM SCANDINAVIA,Warner Music Group
WCM SINGAPORE,Warner Music Group
WCM SOUTH AFRICA,Warner Music Group
WCM SPAIN,Warner Music Group
WCM SWITZERLAND,Warner Music Group
WCM SYNC EXTRACT (DOMESTIC),Warner Music Group
WCM SYNC EXTRACT (FOREIGN),Warner Music Group
WCM TAIWAN,Warner Music Group
WCM THAILAND,Warner Music Group
WCM UK (C)-UNITED KINGDOM,Warner Music Group
WCM UK (W)-ISRAEL,Warner Music Group
WCM UK (W)-UNITED KINGDOM,Warner Music Group
WCOD FM,Radio - General
WCQL FM,Radio - General
WCRZ FM,Radio - General
WCVQ FM,Radio - General
WCXT FM,Radio - General
WDAQ FM,Radio - General
WDCG FM,Radio - General
WDEF FM,Radio - General
WDHT FM,Radio - General
WDJX FM,Radio - General
WDKX FM,Radio - General
WDOD FM,Radio - General
WDOK FM,Radio - General
WDUX FM,Radio - General
WDVD FM,Radio - General
WDVI FM,Radio - General
"WE ARE THE HITS, INC.",We Are The Hits Inc
WEA,WEA
WEAS FM,Radio - General
Web-Radio,Radio - General
WEBCASTING/SIMULCASTING,Webcasting
WEBCASTINGSIMU,Webcasting
WEBE FM,Radio - General
Webmasters Limited,Webmasters Limited
WEDD-MAWF,Other
Weightlifting - Gold Coast Co,Gold Coast Commonwealth Games
WEJZ FM,Radio - General
WEMX FM,Radio - General
WENZ FM,Radio - General
WERO FM,Radio - General
WERQ FM,Radio - General
WERZ FM,Radio - General
Wessex 96 & 97.,Radio - General
Wessex 96 & 97.2 FM,Radio - General
Wessex FM High Peak,Radio - General
Wessex FM Low P,Radio - General
Wessex FM Low Peak M,Radio - General
Wessex FM Non Peak M,Radio - General
West 96.7 FM (Census,Radio - General
West FM High Peak Co,Radio - General
West FM High Peak Ma,Radio - General
West FM Low Pea,Radio - General
West FM Low Peak Com,Radio - General
West FM Low Peak Mai,Radio - General
West FM Non Pea,Radio - General
West FM Non Peak Com,Radio - General
West FM Non Peak Mai,Radio - General
West FM Public Recep,Radio - General
West Sound 1035 AM (,Radio - General
WESTSIDE INDEPENDENT MUSIC PUBLISHING LLC,Westside Independent Music Publishing
WEUP FM,Radio - General
"WEYV, INC.",Weyv
WEZF FM,Radio - General
WEZN FM,Radio - General
WFLC FM,Radio - General
WFLD TV,Radio - General
WFLY FM,Radio - General
WFRO FM,Radio - General
WFXA FM,Radio - General
WFZX AM,Radio - General
WGCI FM,Radio - General
WGER FM,Radio - General
WGFB FM,Radio - General
WGMT FM,Radio - General
WGNI FM,Radio - General
WGPR FM,Radio - General
WGRT FM,Radio - General
WGYL FM,Radio - General
WGZB FM,Radio - General
What So Not (June 2018),Other
WHBC FM,Radio - General
WHBQ FM,Radio - General
WHHD FM,Radio - General
WHHH FM,Radio - General
WHHL FM,Radio - General
WHITE CINEMA BRUSSELS,Cinemas - General
WHITEBAIT PRODUCTIONS LIMITED,Whitebait Productions Ltd
WHLG FM,Radio - General
WHNN FM,Radio - General
WHOM FM,Radio - General
WHOT FM,Radio - General
WHQC FM,Radio - General
WHRK FM,Radio - General
WHTP FM,Radio - General
WHTZ FM,Radio - General
WHUD FM,Radio - General
WHXT FM,Radio - General
WHYN FM,Radio - General
WHZT FM,Radio - General
WIAL FM,Radio - General
"WICOMM AUDIOVISUALES, S.L",Wicomm AV
WIFC FM,Radio - General
WIHT FM,Radio - General
WIIZ FM,Radio - General
WIKA DISCOS,Wika Discos
WIKA DISCOS S.A.C.,Wika Discos
WILDHITZ  //  RTV 20 BV,TV - General
WILT FM,Radio - General
WIMP MUSIC AS (TIDAL),Wimp
WIMP TIDAL STREAMING FRANCE,Wimp
WINC FM,Radio - General
WINNER-TEAM LINE KFT.,Winner Team Line Kft
WIOG FM,Radio - General
Wire 107.2 FM (,Radio - General
Wire 107.2 FM (Censu,Radio - General
Wire FM High Peak Ma,Radio - General
Wire FM Low Peak Mai,Radio - General
Wire FM Non Pea,Radio - General
Wire FM Non Peak Mai,Radio - General
Wire FM Public Recep,Radio - General
Wish 102.4 FM (,Radio - General
Wish 102.4 FM (Censu,Radio - General
Wish FM High Peak Ma,Radio - General
Wish FM Low Pea,Radio - General
Wish FM Low Peak Mai,Radio - General
Wish FM Non Peak Mai,Radio - General
Wish FM Public Recep,Radio - General
WIXM FM,Radio - General
WIXN AM,Radio - General
WIXX FM,Radio - General
WIZF FM,Radio - General
WJBK TV,Radio - General
WJBQ FM,Radio - General
WJBR FM,Radio - General
WJBT FM,Radio - General
WJFX FM,Radio - General
WJJR FM,Radio - General
WJJS FM,Radio - General
WJLB FM,Radio - General
WJLK FM,Radio - General
WJMI FM,Radio - General
WJMN FM,Radio - General
WJQM FM,Radio - General
WJTT FM,Radio - General
WJWZ FM,Radio - General
WJXA FM,Radio - General
WJXB FM,Radio - General
WJYY FM,Radio - General
WJZD FM,Radio - General
WJZE FM,Radio - General
WKAF FM,Radio - General
WKAQ FM,Radio - General
WKBI FM,Radio - General
WKCI FM,Radio - General
WKDD FM,Radio - General
WKFR FM,Radio - General
WKFS FM,Radio - General
WKHT FM,Radio - General
WKKV FM,Radio - General
WKRQ FM,Radio - General
WKSB FM,Radio - General
WKSC FM,Radio - General
WKSE FM,Radio - General
WKSS FM,Radio - General
WKYS FM,Radio - General
WKZL FM,Radio - General
WLAN FM,Radio - General
WLDI FM,Radio - General
WLEV FM,Radio - General
WLHT FM,Radio - General
WLLD FM,Radio - General
WLNK FM,Radio - General
WLR FM RADIO GENERAL,Radio - General
WLTJ FM,Radio - General
WLTW FM,Radio - General
WLVW FM,Radio - General
WM France,Warner Music Group
WM Germany,Warner Music Group
WM Italy,Warner Music Group
WM Poland/WMI,Warner Music Group
WM Sweden,Warner Music Group
WMAG FM,Radio - General
WMAS FM,Radio - General
WMC FM,Radio - General
WMEE FM,Radio - General
WMG,Warner Music Group
WMG (04128),Warner Music Group
WMGI FM,Radio - General
WMGN FM,Radio - General
WMGQ FM,Radio - General
WMGS FM,Radio - General
WMGV FM,Radio - General
WMGX FM,Radio - General
WMIB FM,Radio - General
WMJX FM,Radio - General
WMJY FM,Radio - General
WMMX FM,Radio - General
WMNF FM,Radio - General
WMOR FM,Radio - General
WMVN FM,Radio - General
WMXS FM,Radio - General
WMXZ FM,Radio - General
WMYI FM,Radio - General
WNBM FM,Radio - General
WNCI FM,Radio - General
WNDV FM,Radio - General
WNEW FM,Radio - General
WNNK FM,Radio - General
WNNO FM,Radio - General
WNNS FM,Radio - General
WNOK FM,Radio - General
WNTR FM,Radio - General
WNVZ FM,Radio - General
WOLFGANGS VAULT,Wolfgang's Vault
WOLL FM,Radio - General
WOMX FM,Radio - General
WONDALAND,Wondaland
WONDALAND RECOR,Wondaland
"WOODEN ELEPHANT PLAYS ""LEMONAD",Other
WOOF FM,Radio - General
WORLD RADIO SWITZERLAND,World Radio Switzerland
WOWI FM,Radio - General
WOXL FM,Radio - General
WP19-WP01,Other
WPGC FM,Radio - General
WPHI FM,Radio - General
WPIA FM,Radio - General
WPLJ FM,Radio - General
WPLW FM,Radio - General
WPR PORT KFT.,WPR Port Kft
WPRO FM,Radio - General
WPRW FM,Radio - General
WPTE FM,Radio - General
WPTY FM,Radio - General
WPXY FM,Radio - General
WPYA FM,Radio - General
WQAL FM,Radio - General
WQBT FM,Radio - General
WQEN FM,Radio - General
WQHH FM,Radio - General
WQHT FM,Radio - General
WQLH FM,Radio - General
WQLJ FM,Radio - General
WQLX FM,Radio - General
WQNC FM,Radio - General
WQRC FM,Radio - General
WQSM FM,Radio - General
WQUE FM,Radio - General
WRAL FM,Radio - General
WRBJ FM,Radio - General
WRCH FM,Radio - General
WRCL FM,Radio - General
WRCT FM,Radio - General
WRDX FM,Radio - General
Wrestling - Gold Coast Common,Gold Coast Commonwealth Games
WRFY FM,Radio - General
WRMF FM,Radio - General
WRMM FM,Radio - General
WRNJ AM,Radio - General
WROI FM,Radio - General
WROZ FM,Radio - General
WRRM FM,Radio - General
WRUW FM,Radio - General
WRVE FM,Radio - General
WRVQ FM,Radio - General
WRVW FM,Radio - General
WRVZ FM,Radio - General
WSB FM,Radio - General
WSDF FM,Radio - General
WSGL FM,Radio - General
WSHH FM,Radio - General
WSJO FM,Radio - General
WSMK FM,Radio - General
WSNW AM,Radio - General
WSPK FM,Radio - General
WSSR FM,Radio - General
WSTG FM,Radio - General
WSTR FM,Radio - General
WSTW FM,Radio - General
WSUM FM,Radio - General
WSUS FM,Radio - General
WSWT FM,Radio - General
WTBS,Radio - General
WTCB FM,Radio - General
WTFX FM,Radio - General
WTIC FM,Radio - General
WTMX FM,Radio - General
WTNE,Radio - General
WTOK FM,Radio - General
WTSS FM,Radio - General
WTV,WTV
WTVR FM,Radio - General
WUBT FM,Radio - General
WUS1WE,Radio - General
WUSA05,Radio - General
WUSC FM,Radio - General
WUSHK3,Radio - General
WUSL FM,Radio - General
WUSLYRFD,Radio - General
WUSS8S,Radio - General
WUSSMLE,Radio - General
WUSSTIN,Radio - General
WUSUMGR,Radio - General
WUSWBA,Radio - General
WUSWBB,Radio - General
WUSWBE,Radio - General
WUSWBS,Radio - General
WUSWEM,Radio - General
WUSWMF,Radio - General
WVAQ FM,Radio - General
WVBW FM,Radio - General
WVEE FM,Radio - General
WVHT FM,Radio - General
WVMX FM,Radio - General
WVNO FM,Radio - General
WVSR FM,Radio - General
WVST FM,Radio - General
WWBX FM,Radio - General
WWJM FM,Radio - General
WWKX FM,Radio - General
WWLI FM,Radio - General
WWMX FM,Radio - General
WWPR FM,Radio - General
WWPW FM,Radio - General
WWST FM,Radio - General
WWWZ FM,Radio - General
WXKB FM,Radio - General
WXKC FM,Radio - General
WXKS FM,Radio - General
WXLC FM,Radio - General
WXLK FM,Radio - General
WXLO FM,Radio - General
WXSS FM,Radio - General
WXXL FM,Radio - General
WXXX FM,Radio - General
WYBR FM,Radio - General
WYJB FM,Radio - General
WYKS FM,Radio - General
WYKY FM,Radio - General
WYNN FM,Radio - General
WZAX FM,Radio - General
WZBG FM,Radio - General
WZCB FM,Radio - General
WZFT FM,Radio - General
WZFX FM,Radio - General
WZHT FM,Radio - General
WZID FM,Radio - General
WZJZ FM,Radio - General
WZMX FM,Radio - General
WZPL FM,Radio - General
WZPW FM,Radio - General
WZRL FM,Radio - General
WZVN FM,Radio - General
WZYP FM,Radio - General
XANDRIE,Xandrie
Xandrie Qobuz Downloads Europa,Xandrie
Xandrie Qobuz Streaming Europa,Xandrie
Xandrie S.A.,Xandrie
Xandrie SA,Xandrie
XANDRIESA,Xandrie
XBOX,XBox
XBOX ( 4T12 - 1T14 ),XBox
XBOX (4T17),XBox
Xbox Music,XBox
XBOX4T17,XBox
XBOXMUSIC,XBox
XTM,XTM
XtvN(구 XTM),TV - General
Xyz Networks (music Channels),TV - General
Y R P MUSIC PUBLISHING,YRP Music Publishing
YAHOO,Yahoo
YAMAHA CORPORATION OF AMERICA,Yamaha
YAMAHA MUSIC FOUNDATION,Yamaha
YEREL BOLG RTV UMK LISTESIZ 2018,TV - General
YES SATELLITE,TV - General
YES VOD,TV - General
Yes! Fitness Music,Yes! Fitness Music
yesfitnessmusic,Yes! Fitness Music
Yesterday Comms High,TV - General
Yesterday Comms Low,TV - General
Yesterday Comms Non,TV - General
Yesterday Non-Primet,TV - General
Yesterday Primetime,TV - General
Yesterday Public Rec,TV - General
YG PLUS,YG Plus
"YG PLUS, INC.",YG Plus
YGPLUSINC,YG Plus
YH,YH
Yokee Karaoke,Yokee
Yokee Music LTD,Yokee
YONDER,Yonder
YONDER INDONESIA,Yonder
YOOPA,YOOPA
Yorkshire Coast,Radio - General
Yorkshire Coast Radi,Radio - General
YORKSHIRE TELEV,TV - General
"YOU FIRST VENTURES, S.L.U",You First Ventures Slu
YOU NIGHT CLUB,You Night Club
YOU SING LIMITE,YouSing Ltd
YOU TUBE (PTS/10000),YouTube
YOUK,YOUK
YOURADIO,Radio - General
YouSee Filmleje (Fremfrelse),YouSee
YouSee Filmleje (Mekanisk),YouSee
YouSee Movie rental (Mechanical),YouSee
YouSee Movie rental (Performing),YouSee
YouSee Play,YouSee
YOUSEEPLAY,YouSee
YOUSICIAN,Yousician
YouSing Ltd,YouSing Ltd
YouTu,YouTube
YouTube,YouTube
YOUTUBE  //  GOOGLE IRELAND LT,YouTube
YOUTUBE (FREE SERVICE),YouTube
YouTube (UMP and PAL),YouTube
YOUTUBE - AUDIO PERFORMANCES,YouTube
"YOUTUBE - GOOGLE IRELAND,",YouTube
YOUTUBE - PROXY A/V PERFORMANCES,YouTube
YouTube - Unmatched Analogi Me,YouTube
YouTube - Unmatched Analogi Ut,YouTube
YOUTUBE - ZISK Z REKLAMY/ADS,YouTube
YOUTUBE 2017 YABANCI,YouTube
YouTube Allocation - 1 Year to Mar 19,YouTube
YouTube Allocation - 1 Year to March 18,YouTube
YOUTUBE ATRASOS,YouTube
YOUTUBE AVOD GE CZ,YouTube
YOUTUBE AVOD GEMUSIC CZ,YouTube
YOUTUBE AVOD MU,YouTube
YOUTUBE AVOD MUSIC CZ,YouTube
YOUTUBE DLE POCTU KLIKU/VIEWS,YouTube
YOUTUBE DSRF,YouTube
YouTube Final Dist. 2018,YouTube
YouTube final Dist. 2019,YouTube
YOUTUBE FRANCE,YouTube
YOUTUBE INDONESIA,YouTube
YOUTUBE MEK,YouTube
YOUTUBE MUSIC,YouTube
YouTube Music Streaming Europa,YouTube
YouTube Music Streaming Norden,YouTube
YouTube Norden & Baltikum Euro,YouTube
YOUTUBE OBO SONY,YouTube
YOUTUBE PREMIUM,YouTube
YOUTUBE RED,YouTube
YOUTUBE RESIDUAL,YouTube
YOUTUBE SETTLEMENT 2013-2016 - AUDIO PERFORMANCES,YouTube
YOUTUBE SETTLEMENT 2013-2016 - PROXY A/V PERFS,YouTube
YOUTUBE SETTLEMENT 2Q19-4Q19 - AUDIO PERFORMANCES,YouTube
YOUTUBE SETTLEMENT 4Q17-1Q19 - AUDIO PERFORMANCES,YouTube
YouTube Streaming Norden & Bal,YouTube
YOUTUBE SVOD MU,YouTube
YOUTUBE SVOD MUSIC GEMUSIC CZ,YouTube
YOUTUBE SVOD MUSIC MUSIC CZ,YouTube
YOUTUBE SVOD PR,YouTube
YOUTUBE SVOD PREMIUM GEMUSIC C,YouTube
YOUTUBE SVOD PREMIUM MUSIC CZ,YouTube
YouTube till?gg Europa EUR mek,YouTube
YouTube till?gg Europa EUR utf,YouTube
YouTube till?gg Norden/Baltiku,YouTube
YOUTUBE VOD,YouTube
"YOUTUBE, LLC",YouTube
YOUTUBE-IDN SETUP,YouTube
YOUTUBE-MYS SETUP,YouTube
YOUTUBE-PHL SETUP,YouTube
YOUTUBE-THA SETUP,YouTube
YOUTUBE-TWN SETUP WCM,YouTube
YOUTUBE-VNM SETUP,YouTube
YouTube/AVOD Music,YouTube
YouTube/AVOD NonMus.,YouTube
YOUTUBE3T152,YouTube
YOUTUBEATRASOS,YouTube
YOUTUBEAVODMU,YouTube
YOUTUBEAVODNO,YouTube
YOUTUBEDSRF,YouTube
YOUTUBEGOOGL,YouTube
YOUTUBEUMPAN,YouTube
YOUTUBEUSA,YouTube
YOUTUBEZISK,YouTube
YT117-001,YouTube
YT118-001,YouTube
YT118-003,YouTube
YT119-001,YouTube
YT119-003,YouTube
YT18-001,YouTube
YT217-001,YouTube
YT218-005,YouTube
YT219-001,YouTube
YT219-003,YouTube
YT219-005,YouTube
YT219-007,YouTube
YT318-001,YouTube
YT318-003,YouTube
YT319-001,YouTube
YT418-001,YouTube
YTMS,YouTube
YTN-R,YouTube
YTN17-YTN02,YouTube
YTN17-YTN04,YouTube
YTN18-YTN02,YouTube
YTN18-YTN04,YouTube
YTN18-YTN08,YouTube
YTN18-YTN10,YouTube
YTN19-YTN02,YouTube
YTN19-YTN04,YouTube
YTN20-YTN02,YouTube
YTR15-012,YouTube
YTR18-001,YouTube
YTR18-003,YouTube
YTR19-003,YouTube
YTR19-005,YouTube
YTUBE VOD (1-2T19),YouTube
YTUBE VOD (2-4T18),YouTube
"YTUBE VOD(3,4T2019)",YouTube
YTUBE VOD(3T17-1T18,YouTube
YTUBE VOD(3T17-1T18),YouTube
YTUBEC,YouTube
YTUBEVOD3T17,YouTube
YTV,YTV
YUTBIR,YouTube
Z HOR CKE R DIO,Radio - General
Z.I.P. HOTEL KFT.,Performance - Venues
Z4DELTA KFT.,Z4Delta Kft
ZAAL TUIMELDING,Zaal Tuimelding
ZAGATO FLAVIO Internet Web Rad,Zagato Flavio
ZAIKS,Zaiks
ZALAEGERSZEGI TELEVIZIO ES RAD,TV - General
ZALAKAROSI FURDO ZRT.,Zalakarosi Furdo Zrt
Zang & Accordeonmuziek,Zang & Accordeonmuziek
ZAPAD,ZAPAD
ZAPPA,ZAPPA
Zedge - Settlement,Zedge
ZES,ZES
ZET,ZET
ZHONG HUA HANG KONG(CHINA),China - General
ZHONG YANG REN MIN GUANG BO DI,China - General
ZIGGO CVOD,ZIGGO
Ziggo Sport Totaal,ZIGGO
Ziggo Sport Totaal MR,Ziggo
ZIGGO Video on Demand,ZIGGO
ZLIN,Zlin
ZOOM ENTERTAINM,Zoom Entertainment
ZSELICI FORRAS KFT.,Zselici Forras Kft
ZUGLOI CSEREPES KULTURALIS NON,Zugloi Cserepes Kulturalis Non-profit Kft.
Zune (Microsoft),Zune
ZURIMENA ESTERE,Other
世新大學廣播,Shih Hsin University Broadcasting
中國廣播IRADIO,Chinese Radio
中央廣播,Central Broadcasting
中華航空(CHINA),Airlines
交通大學,Universities - General
佛光大學,Universities - General
全音樂,China - General
全音樂2,China - General
公開傳輸(PUBLIC TRANSMISSION),China - General
台北之音,Voice of Taipei
台北之音2,Voice of Taipei
台灣酷樂,Taiwan Cool Music
台灣酷樂2,Taiwan Cool Music
台藝之聲廣播,Voice of Taiwan Arts Broadcasting
喜马拉雅,China - General
奧創資訊,Autra
奧創資訊2,Autra
好唱,China - General
巴士在线,China - General
廣播電台,China - General
彩虹,Rainbow
復興航空(TNA),Airlines
捷名,China - General
放心播,China - General
教育廣播,China - General
數位點子,China - General
東森新聞雲,Dongsen News Cloud
爱奇艺,iQiYi
生采公司,China - General
生采公司2,China - General
网易云音乐,NetEase
聯鑫行銷,Lianxin Marketing
聽聽音樂社,China - General
腾讯 QQ,Tencent
腾讯 QQ 201801-201811,Tencent
腾讯 QQ 201812-201903,Tencent
腾讯 QQ 音乐,Tencent
腾讯 酷我,Tencent
腾讯 酷我 201801-201811,Tencent
腾讯 酷我 201812-201903,Tencent
腾讯 酷狗,Tencent
腾讯 酷狗 201801-201811,Tencent
腾讯 酷狗 201812-201903,Tencent
腾讯- 唱吧,Tencent
腾讯-K歌,Tencent
腾讯-QQ,Tencent
腾讯-酷我,Tencent
腾讯-酷狗,Tencent
腾讯-酷狗酷我,Tencent
臺北大學,Universities - General
臺北大學3,Universities - General
花椒,Sichuan peppercorn
芳舟生活,Fangzhou life
警廣,China - General
長榮航空(EVA),EVA Air (EVA)
門市,China - General
陳彥廷,Chen Yanting
陳彥廷2,Chen Yanting
隨身遊戲,China - General
隨身遊戲2,China - General
電視-MTV音樂電視,MTV
電視-八大,Chinese TV
電視-台視,Chinese TV
電視-星空傳媒,Chinese TV
電視-高點電視台,Chinese TV
麥奇,Oh! Mikey! (Japanese Show)
강원지부,Gangwon Branch
개인방송(음악주),Personal broadcast (music master)
경기지부,Gyeonggi Branch
경북지부,Gyeongbuk Branch
경인방송,Gyeongin Broadcasting
광주평화방송,Gwangju Peace Broadcasting
구글코리아 유한회사,Google
국군방송,Armed Forces Broadcasting
그루버스(구  크루),Grubers (formerly Crew)
기타(미확인계정),Other
네이버 나우,Naver Now
노래연습장 및 게임방,Singing practice room and game room
단란주점,Danran Pub
대구평화방송,Daegu Peace Broadcasting
딩가라디오,Dinga Radio
롯데홈쇼핑,Other
리???네트웍스아시아퍼시픽(주),Real Networks Asia Pacific
리얼네트웍스아시아퍼시픽(주),Real Networks Asia Pacific
미디어스코프 주식회사,"Mediascope Co., Ltd."
반주기수록곡,Half Cycle Song
베스트온에어닷컴,Air.com
부관훼리(주),"Auxiliary Ferry Co., Ltd."
부산평화방송,Busan Peace Broadcasting
블루미디어,blue media
비즈멜론,beesmelon
서울지부,Campaignus Union Seoul Branch
슈펜 가로수길점,Shoopen Korea
슈펜 건대점,Shoopen Korea
슈펜 광복점,Shoopen Korea
슈펜 동성로점,Shoopen Korea
슈펜 미아점,Shoopen Korea
슈펜 수유점,Shoopen Korea
슈펜 신촌점,Shoopen Korea
슈펜 연수 스퀘어점,Shoopen Korea
슈펜 의정부점,Shoopen Korea
슈펜 청주 지웰시티점,Shoopen Korea
슈펜 홍대점,Shoopen Korea
스카이채널아시아(주),skyTV Korea
스푼라디오,Spoon Radio
씨제이디지털뮤직(주),"CJ E&M Co., Ltd."
씨제이올리브네트웍스 주식회사,"CJ E&M Co., Ltd."
씨제이이앤엠주식회사,"CJ E&M Co., Ltd."
씨제이파워캐스트,"CJ E&M Co., Ltd."
아시아나항공(주),Airlines
악보교실,Sheet Music Korea
악보나라,Sheet Music Korea
애플코리아 유한회사,Apple Music
에스알엠(SRM),SRM
엠에프유,MFU
엠텍크루,M Tech crew
오버앤,Korea - General
오프라인반주기,Korea - General
온라인반주기,Korea - General
와이티엔디엠비,YTN DMB
원음방송,Korea - General
웹캐스팅(음악부),Webcasting
웹캐스팅(음악주),Webcasting
위성DMB,Satellite Radio Korea
위성방송,Satellite Radio Korea
유흥주점 및 레스토랑 등,Korea - General
은성전자,Eunsung Electronics
음악유선방송,Korea - General
음저협(전송분배보류금),Umhyup (transmission distribution reserve)
이비에스미디어주식회사,Korea - General
인천지부,Korea - General
전국 백화점,Korea - General
전국 호텔,Korea - General
전자제품양판점1,Korea - General
종합유선방송(SO),Korea - General
주식회사 금영엔터테인먼트,Geumyoung Group
주식회사 다날엔터테인먼트,"Danal Entertainment Co., Ltd."
주식회사 더블유피어,"W Pear Co., Ltd."
주식회사 라이브네이션코리아,"Live Nation Korea Co., Ltd."
주식회사 마피아컴퍼니,Mafia Company
주식회사 쇼파르뮤직,"Shofar Music Co., Ltd."
주식회사 엔에???치엔벅스,"Chienbucks Co., Ltd."
주식회사 엔에이치엔벅스,NHN Bucks
주식회사 이랜드스포츠,"E-Land Sports Co., Ltd."
주식회사 카카오,Kakao M
주식회사 카카오엠,Kakao M
주식회사엔터미디어,"Enter Media Co., Ltd."
중계유선방송,Korea - General
지상파DMB,Terrestrial DMB
채널A,Channel A
체력단련장,Korea - General
카리브 뮤직,Korea - General
커피전문점,Korea - General
커피전문점 등,Korea - General
티제이미디어(주),"TJ Media Co., Ltd."
티제이커뮤니케이션(주),"TJ Communication Co., Ltd."
패션앤,Korea - General
펌프스테이션,Korea - General
한국방송출판,Korea Broadcasting Publishing
해외단체,Korea - General
해외단체들,Korea - General
현대홈쇼핑,Other
호남지부,Korea - General
홈앤쇼핑,Other
ASCAP,ASCAP
CMRRA - GOOGLE INC. CANADA,Google
CMRRA - SPOTIFY CANADA,Spotify
CMRRA - AMAZON DIGITAL SERVICES,Amazon
CMRRA - YOUTUBE,YouTube
"MUSIC REPORTS, INC. - PANDORA",Pandora
"MUSIC REPORTS, INC. - AMAZON.COM",Amazon
LYRICFIND,LyricFind
PRS,PRS
AUDIAM,Audiam
"SONY MUSIC ENTERTAINMENT, INC.",Sony Music
IMRO,IMRO
"HFA - CONS. DIG STREAM (SPOTIFY, NAPSTER, RHAPSODY, 7DIGITAL",HFA
CMRRA - APPLE MUSIC CANADA,Apple Music
"MUSIC REPORTS, INC. - TIDAL",Tidal
NCB,NCB
TAIYO MUSIC INC.,Taiyo Music
WARNER MUSIC GROUP,Warner Music
CURB RECORDS,Curb Records
SAYCO,SAYCO
CMRRA - SODRAC,Sodrac
"TOUCHTUNES DIGITAL JUKEBOX, INC.",TouchTunes
SOCAN,SOCAN
"MUSIC REPORTS, INC. - DEEZER",Deezer
"MUSIC REPORTS, INC. - MIDWEST TAPES",Midwest Tape
"MUSIC REPORTS, INC. - IHEART",iHeart
"UNIVERSAL MUSIC CANADA, INC.",Universal Music
"UMG RECORDINGS, INC.",Universal Music
ASCAP INTERNATIONAL,ASCAP
AMCOS,APRA AMCOS
STIM,STIM
APRA,APRA AMCOS
"PLAYNETWORK, INC.",PlayNetwork
SOCIEDAD GENERAL DE AUTORES DE ESPANA,SGAE
MECHANICAL COPYRIGHT PROTECTION SOCIETY LIMITED,MCPS
"GUSTO RECORDS, INC.",Gusto Records
OSA,OSA
GOOGLE PLAY,Google
BUMA STEMRA,BUMA / STEMRA
CMRRA - RHAPSODY INTERNATIONAL,Rhapsody
SADAIC,SADAIC
FAT WRECK CHORDS,Fat Wreck Chords
GEMA SPECIAL DISTRIBUTION (ZPUE),GEMA
"MUSICNOTES, INC.",Musicnotes
"SYBERSOUND RECORDS, INC.",Sybersound Records
GEMA,GEMA
SACEM,SACEM
TONO,TONO
MIDI HITS RECORDS,Midi Hits Records
ABRAMUS,Abramus
KODA,KODA
SACM,SACEM
"MUSIC REPORTS, INC - BELIEVE DIGITAL",Believe Digital
ACUM,ACUM
"BURGETT, INC.",Burgett Inc
"SONY MUSIC CANADA, INC.",Sony Music
CMH LABEL GROUP,CMH Label Group
LEGACY PRODUCTIONS INC.,Legacy Productions
WARNER MUSIC CANADA,Warner Music
"MUSIC REPORTS, INC. - SOUNDCLOUD",Soundcloud
SABAM,SABAM
MLC - AMAZON MUSIC,Amazon
MLC - APPLE MUSIC,Apple Music
MLC - DEEZER,Deezer
MLC - LIVEXLIVE,LiveXLive
MLC - MELODY VR,Melody VR
MLC - PANDORA,Pandora
MLC - SPOTIFY,Spotify
MLC - TIDAL,Tidal
MLC - TREBEL,Trebel
MLC - YOUTUBE MUSIC (FORMERLY GOOGLEPLAY),YouTube
CMRRA - ITUNES,iTunes
MLC - GTL,GTL
MLC - SOUNDCLOUD,Soundcloud
"MUSIC REPORTS, INC - SOUNDTRACK YOUR BRAND",Soundtrack Your Brand
"MUSIC REPORTS, INC. - SPOTIFY",Spotify
MUSIXMATCH,Musixmatch
"MUSIC REPORTS, INC. - TIKTOK",TikTok
YOUTUBE,YouTube
MLC - IHEART RADIO,iHeart
MLC - QOBUZ,Qobuz
HFA - THE ORCHARD,HFA
EXPLORATION GROUP (YOUTUBE),YouTube
CMRRA - SOUNDCLOUD,Soundcloud
SIAE,SIAE
MLC - MIDWEST TAPE,Midwest Tape
GEMA-PRIVATE COPY,GEMA
SUISA,SUISA
CMRRA - ONLINE DISTRIBUTIONS,CMRRA
YOKEE KARAOKE AND PIANO,Yokee
UCMR-ADA,UCMR
AKM (AUSTRIA),AKM
STINGRAY MUSIC USA INC.,Stingray Music
