Record Number,CAE Number,Rights Type,Distribution (posted),Usage Narrative,Un-Notified Flag,Work Title,Amount (performance revenue),Share,Perf Start Date,Perf End Date,Prod Header,Broadcast Region,Production ID,Number of Perfs,Duration,IP1,IP2,IP3,IP4,Tunecode,ISWC,WID,Catalogue Number,Invoice Number,Currency,Works Share Transfer From,Works Share Transfer To,Old Share,New Share,Adjustment Reason
819,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Express,.1519,50,28/02/2016,, , ,,00000009, ,Dina Carroll,Nigel Philip Lowis, , ,7118888E,T0103367696,7118888E, ,208687,GBP, , , , , 
820,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Express,.0599,50,28/02/2016,, , ,,00000006, ,Dina Carroll,Nigel Philip Lowis, , ,7118888E,T0103367696,7118888E, ,208687,GBP, , , , , 
821,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7118888E,T0103367696,7118888E,14204421,231178,GBP, , , , , 
822,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7118888E,T0103367696,7118888E,15498631,231178,GBP, , , , , 
823,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7118888E,T0103367696,7118888E,14778719,231178,GBP, , , , , 
824,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7118888E,T0103367696,7118888E,14204377,231178,GBP, , , , , 
825,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7118888E,T0103367696,7118888E,13646089,231178,GBP, , , , , 
826,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.0224,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7118888E,T0103367696,7118888E, ,208685,GBP, , , , , 
827,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.0672,50,28/02/2016,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7118888E,T0103367696,7118888E, ,208688,GBP, , , , , 
828,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.0224,50,27/12/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7118888E,T0103367696,7118888E, ,208682,GBP, , , , , 
829,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.0224,50,27/12/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7118888E,T0103367696,7118888E, ,208682,GBP, , , , , 
830,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.0448,50,31/01/2016,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7118888E,T0103367696,7118888E, ,208685,GBP, , , , , 
831,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.0224,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7118888E,T0103367696,7118888E, ,208688,GBP, , , , , 
832,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.0224,50,27/12/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7118888E,T0103367696,7118888E, ,208682,GBP, , , , , 
833,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Express,.0337,50,28/02/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7118888E,T0103367696,7118888E, ,208688,GBP, , , , , 
834,177149937,M,2016101,Alliance Apple Music Ireland Limited Download / On Demand Streaming Service Single, ,Falling,.0004,50,27/09/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208725,EUR, , , , , 
835,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Falling,.05,50,27/09/2015,, , ,,00000060, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208567,GBP, , , , , 
836,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Falling,.0197,50,27/09/2015,, , ,,00000204, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208569,GBP, , , , , 
837,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Falling,.1185,50,27/09/2015,, , ,,00000145, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208679,GBP, , , , , 
838,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Falling,.063,50,31/08/2012,31/08/2012, , ,,00000009, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,244816,GBP, , , , , 
839,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Falling,.045,50,30/09/2012,30/09/2012, , ,,00000006, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,244818,GBP, , , , , 
840,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Falling,.009,50,31/12/2015,31/12/2015, , ,,00000007, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,244912,GBP, , , , , 
841,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Falling,.036,50,30/11/2015,30/11/2015, , ,,00000033, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,244908,GBP, , , , , 
842,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Falling,.009,50,31/10/2015,31/10/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,244902,GBP, , , , , 
843,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Falling,.009,50,30/06/2015,30/06/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,244874,GBP, , , , , 
844,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Falling,.009,50,31/05/2015,31/05/2015, , ,,00000005, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,244868,GBP, , , , , 
845,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Falling,.018,50,30/04/2015,30/04/2015, , ,,00000012, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,244862,GBP, , , , , 
846,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Falling,.009,50,31/03/2015,31/03/2015, , ,,00000014, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,244860,GBP, , , , , 
847,177149937,M,2016101,Alliance Google United Kingdom Permanent Download Service Album, ,Falling,.0781,50,01/10/2015,, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,209707,EUR, , , , , 
848,177149937,M,2016101,Alliance Google United Kingdom Permanent Download Service Album, ,Falling,.0391,50,01/10/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,209707,EUR, , , , , 
849,177149937,M,2016101,Alliance Microsoft X Box United Kingdom On Demand Subs Dual Single, ,Falling,.009,50,31/07/2015,31/07/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,232836,GBP, , , , , 
850,177149937,M,2016101,Alliance Microsoft X Box United Kingdom On Demand Subs Dual Single, ,Falling,.009,50,28/02/2014,28/02/2014, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,232244,GBP, , , , , 
851,177149937,M,2016101,Alliance Microsoft X Box United Kingdom On Demand Subs Dual Single, ,Falling,.018,50,31/03/2015,31/03/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,232188,GBP, , , , , 
852,177149937,M,2016101,Alliance Microsoft X Box United Kingdom On Demand Subs Dual Single, ,Falling,.009,50,31/05/2015,31/05/2015, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,232234,GBP, , , , , 
853,177149937,M,2016101,Alliance Microsoft X Box United Kingdom On Demand Subs Dual Single, ,Falling,.009,50,30/09/2015,30/09/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,232840,GBP, , , , , 
854,177149937,M,2016101,Alliance Microsoft X Box United Kingdom On Demand Subs Dual Single, ,Falling,.018,50,31/08/2015,31/08/2015, , ,,00000003, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V, ,232838,GBP, , , , , 
855,177149937,M,2016101,Alliance Online Residuals PDS Ireland Permanent Download Service Single, ,Falling,.0765,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V,14778710,231215,EUR, , , , , 
856,177149937,M,2016101,Alliance Online Residuals PDS United Kingdom Permanent Download Service Single, ,Falling,.081,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V,14778710,231209,GBP, , , , , 
857,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Falling,.09,50,12/08/2015,12/08/2015, , ,,00001362, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V,14778710,245053,GBP, , , , , 
858,177149937,M,2016101,Alliance iTunes Ireland Permanent Download Service Single, ,Falling,.2524,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V,14778710,231186,EUR, , , , , 
859,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Falling,.2248,50,31/01/2016,, , ,,00000015, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208684,GBP, , , , , 
860,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Falling,.063,50,31/01/2016,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208684,GBP, , , , , 
861,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Falling,.3896,50,27/12/2015,, , ,,00000026, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208681,GBP, , , , , 
862,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Falling,.0406,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208684,GBP, , , , , 
863,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Falling,.2247,50,28/02/2016,, , ,,00000015, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208687,GBP, , , , , 
864,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Falling,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V,14778710,231178,GBP, , , , , 
865,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Falling,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,2144902V,T0102481593,2144902V,351826642,231178,GBP, , , , , 
866,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Falling,.112,50,31/01/2016,, , ,,00000005, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208685,GBP, , , , , 
867,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Falling,.0672,50,28/02/2016,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208688,GBP, , , , , 
868,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Falling,.0224,50,27/12/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,2144902V,T0102481593,2144902V, ,208682,GBP, , , , , 
869,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Give Me The Right,.0188,50,27/09/2015,, , ,,00000023, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208679,GBP, , , , , 
870,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Give Me The Right,.0292,50,27/09/2015,, , ,,00000035, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208567,GBP, , , , , 
871,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Give Me The Right,.0017,50,27/09/2015,, , ,,00000018, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208569,GBP, , , , , 
872,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Give Me The Right,.0046,50,27/09/2015,, , ,,00000047, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208569,GBP, , , , , 
873,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Give Me The Right,.0083,50,27/09/2015,, , ,,00000010, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208567,GBP, , , , , 
874,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Give Me The Right,.0024,50,27/09/2015,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208679,GBP, , , , , 
875,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Give Me The Right,.009,50,31/01/2015,31/01/2015, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R, ,244846,GBP, , , , , 
876,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Give Me The Right,.009,50,31/08/2012,31/08/2012, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R, ,244816,GBP, , , , , 
877,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Give Me The Right,.027,50,30/11/2015,30/11/2015, , ,,00000034, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R, ,244908,GBP, , , , , 
878,177149937,M,2016101,Alliance Google United Kingdom Permanent Download Service Album, ,Give Me The Right,.0195,50,01/10/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,209707,EUR, , , , , 
879,177149937,M,2016101,Alliance Microsoft X Box United Kingdom On Demand Subs Dual Single, ,Give Me The Right,.009,50,30/04/2015,30/04/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R, ,232232,GBP, , , , , 
880,177149937,M,2016101,Alliance Microsoft X Box United Kingdom On Demand Subs Dual Single, ,Give Me The Right,.009,50,31/01/2015,31/01/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R, ,232180,GBP, , , , , 
881,177149937,M,2016101,Alliance Microsoft X Box United Kingdom Permanent Download Service Album, ,Give Me The Right,.018,50,28/02/2015,28/02/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R, ,232214,GBP, , , , , 
882,177149937,M,2016101,Alliance Online Residuals PDS United Kingdom Permanent Download Service Single, ,Give Me The Right,.081,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R,122943118,231209,GBP, , , , , 
883,177149937,M,2016101,Alliance Online Residuals PDS United Kingdom Permanent Download Service Single, ,Give Me The Right,.081,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R,13646068,231209,GBP, , , , , 
884,177149937,M,2016101,Alliance RDIO United Kingdom On Demand Subs Single Single, ,Give Me The Right,.009,50,31/05/2013,31/05/2013, , ,,00000008, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R, ,232296,GBP, , , , , 
885,177149937,M,2016101,Alliance iTunes Cloud Services United Kingdom Subscription Permanent Download Service Single, ,Give Me The Right,.018,50,12/08/2015,12/08/2015, , ,,00000185, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R,122943118,245053,GBP, , , , , 
886,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Give Me The Right,.0237,50,28/02/2016,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208687,GBP, , , , , 
887,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Give Me The Right,.0237,50,27/12/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208681,GBP, , , , , 
888,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Give Me The Right,.0202,50,27/12/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208681,GBP, , , , , 
889,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Give Me The Right,.0102,50,31/01/2016,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208684,GBP, , , , , 
890,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Album, ,Give Me The Right,.0355,50,31/01/2016,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7547245R,T0103530342,7547245R, ,208684,GBP, , , , , 
891,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Give Me The Right,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R,122943118,231178,GBP, , , , , 
892,177149937,M,2016101,Alliance iTunes United Kingdom Permanent Download Service Single, ,Give Me The Right,.252,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Polygram Music Publishing Ltd ,Universal Music Publishing Lim,7547245R,T0103530342,7547245R,13646068,231178,GBP, , , , , 
893,177149937,M,2016101,Alliance Apple Music Ireland Limited Download / On Demand Streaming Service Single, ,Heaven Sent,.0007,50,27/09/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7158545Z,T0103384219,7158545Z, ,208725,EUR, , , , , 
894,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Heaven Sent,.072,50,27/09/2015,, , ,,00000088, ,Dina Carroll,Nigel Philip Lowis, , ,7158545Z,T0103384219,7158545Z, ,208679,GBP, , , , , 
895,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Heaven Sent,.0025,50,27/09/2015,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7158545Z,T0103384219,7158545Z, ,208567,GBP, , , , , 
896,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Heaven Sent,.0024,50,27/09/2015,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7158545Z,T0103384219,7158545Z, ,208679,GBP, , , , , 
897,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Heaven Sent,.0012,50,27/09/2015,, , ,,00000012, ,Dina Carroll,Nigel Philip Lowis, , ,7158545Z,T0103384219,7158545Z, ,208569,GBP, , , , , 
898,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Heaven Sent,.0483,50,27/09/2015,, , ,,00000058, ,Dina Carroll,Nigel Philip Lowis, , ,7158545Z,T0103384219,7158545Z, ,208567,GBP, , , , , 
899,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Heaven Sent,.0165,50,27/09/2015,, , ,,00000170, ,Dina Carroll,Nigel Philip Lowis, , ,7158545Z,T0103384219,7158545Z, ,208569,GBP, , , , , 
900,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.009,50,31/01/2015,31/01/2015, , ,,00000007, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,244846,GBP, , , , , 
901,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.009,50,30/04/2015,30/04/2015, , ,,00000013, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,244862,GBP, , , , , 
902,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.009,50,31/01/2015,31/01/2015, , ,,00000003, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,244846,GBP, , , , , 
903,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.036,50,31/08/2012,31/08/2012, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,244816,GBP, , , , , 
904,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.027,50,30/11/2015,30/11/2015, , ,,00000036, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,244908,GBP, , , , , 
905,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.018,50,30/09/2012,30/09/2012, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,244818,GBP, , , , , 
906,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.009,50,30/09/2012,30/09/2012, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,244818,GBP, , , , , 
907,177149937,M,2016101,Alliance Google United Kingdom Permanent Download Service Album, ,Heaven Sent,.0781,50,01/10/2015,, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7158545Z,T0103384219,7158545Z, ,209707,EUR, , , , , 
908,177149937,M,2016101,Alliance Google United Kingdom Permanent Download Service Album, ,Heaven Sent,.0391,50,01/10/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7158545Z,T0103384219,7158545Z, ,209707,EUR, , , , , 
909,177149937,M,2016101,Alliance Microsoft X Box United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.018,50,31/03/2015,31/03/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,232188,GBP, , , , , 
910,177149937,M,2016101,Alliance Microsoft X Box United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.018,50,30/04/2015,30/04/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,232232,GBP, , , , , 
911,177149937,M,2016101,Alliance Microsoft X Box United Kingdom Permanent Download Service Album, ,Heaven Sent,.018,50,28/02/2015,28/02/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,232214,GBP, , , , , 
912,177149937,M,2016101,Alliance Online Residuals PDS Ireland Permanent Download Service Single, ,Heaven Sent,.0765,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z,14778722,231215,EUR, , , , , 
913,177149937,M,2016101,Alliance Online Residuals PDS United Kingdom Permanent Download Service Single, ,Heaven Sent,.081,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z,14778722,231209,GBP, , , , , 
914,177149937,M,2016101,Alliance Online Residuals PDS United Kingdom Permanent Download Service Single, ,Heaven Sent,.081,50,31/12/2013,31/12/2013, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z,13646086,231209,GBP, , , , , 
915,177149937,M,2016101,Alliance RDIO United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.009,50,30/06/2014,30/06/2014, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,232574,GBP, , , , , 
916,177149937,M,2016101,Alliance RDIO United Kingdom On Demand Subs Dual Single, ,Heaven Sent,.009,50,30/11/2014,30/11/2014, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7158545Z,T0103384219,7158545Z, ,232960,GBP, , , , , 
